sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.85,0.0632,0.0584301539644256,0.0679698460355745,1.0903771322276,1.62895622895623,0.082089552238806,0.127155172413793,0.0888493952650541,PTPN22
10000,402,1,1,0.86,0.062,0.0572726294585505,0.0667273705414495,1.08431029010665,1.62895622895623,0.082089552238806,0.127155172413793,0.0883987390633042,PTPN22
10000,402,1,1,0.87,0.0624,0.057658415715479,0.067141584284521,1.07824944339008,1.62895622895623,0.082089552238806,0.127155172413793,0.0879480828615543,PTPN22
10000,402,1,1,0.88,0.0601,0.0554409170632248,0.0647590829367752,1.07219458319505,1.62895622895623,0.082089552238806,0.127155172413793,0.0874974266598045,PTPN22
10000,402,1,1,0.89,0.0603,0.0556336678344617,0.0649663321655383,1.0661457006563,1.62895622895623,0.082089552238806,0.127155172413793,0.0870467704580546,PTPN22
10000,402,1,1,0.9,0.0572,0.05264770726101,0.06175229273899,1.06010278692603,1.62895622895623,0.082089552238806,0.127155172413793,0.0865961142563047,PTPN22
10000,402,1,1,0.91,0.0512,0.0468793936545568,0.0555206063454432,1.0540658331739,1.62895622895623,0.082089552238806,0.127155172413793,0.0861454580545549,PTPN22
10000,402,1,1,0.92,0.0539,0.0494732470592546,0.0583267529407454,1.04803483058699,1.62895622895623,0.082089552238806,0.127155172413793,0.085694801852805,PTPN22
10000,402,1,1,0.93,0.0536,0.0491848837677745,0.0580151162322255,1.04200977036975,1.62895622895623,0.082089552238806,0.127155172413793,0.0852441456510551,PTPN22
10000,402,1,1,0.94,0.0515,0.0471674392322817,0.0558325607677183,1.03599064374393,1.62895622895623,0.082089552238806,0.127155172413793,0.0847934894493052,PTPN22
10000,402,1,1,0.95,0.0504,0.0461114744501479,0.0546885255498521,1.02997744194859,1.62895622895623,0.082089552238806,0.127155172413793,0.0843428332475554,PTPN22
10000,402,1,1,0.96,0.0513,0.0469754042868271,0.0556245957131729,1.02397015624,1.62895622895623,0.082089552238806,0.127155172413793,0.0838921770458055,PTPN22
10000,402,1,1,0.97,0.0485,0.0442888797187993,0.0527111202812007,1.01796877789167,1.62895622895623,0.082089552238806,0.127155172413793,0.0834415208440556,PTPN22
10000,402,1,1,0.98,0.0514,0.0470714194836002,0.0557285805163998,1.01197329819421,1.62895622895623,0.082089552238806,0.127155172413793,0.0829908646423058,PTPN22
10000,402,1,1,0.99,0.0471,0.0429470519576776,0.0512529480423225,1.00598370845538,1.62895622895623,0.082089552238806,0.127155172413793,0.0825402084405559,PTPN22
10000,402,1,1,1,0.0485,0.0442888797187993,0.0527111202812007,1,1.62895622895623,0.082089552238806,0.127155172413793,0.082089552238806,PTPN22
10000,402,1,1,0,0.87,0.863407446193044,0.876592553806956,1.53899186256781,1.53899186256781,0.557213930348259,0.65948275862069,0.65948275862069,CTLA4
10000,402,1,1,0.01,0.8642,0.857484483869699,0.870915516130301,1.53200415578234,1.53899186256781,0.557213930348259,0.65948275862069,0.658460070337965,CTLA4
10000,402,1,1,0.02,0.8536,0.846670209230455,0.860529790769545,1.52505817127175,1.53899186256781,0.557213930348259,0.65948275862069,0.657437382055241,CTLA4
10000,402,1,1,0.03,0.8481,0.841064016713202,0.855135983286798,1.51815353647455,1.53899186256781,0.557213930348259,0.65948275862069,0.656414693772517,CTLA4
10000,402,1,1,0.04,0.8455,0.838414941695883,0.852585058304118,1.51128988325188,1.53899186256781,0.557213930348259,0.65948275862069,0.655392005489792,CTLA4
10000,402,1,1,0.05,0.84,0.832813424127908,0.847186575872092,1.50446684782199,1.53899186256781,0.557213930348259,0.65948275862069,0.654369317207068,CTLA4
10000,402,1,1,0.06,0.8246,0.817144807868065,0.832055192131935,1.49768407069604,1.53899186256781,0.557213930348259,0.65948275862069,0.653346628924344,CTLA4
10000,402,1,1,0.07,0.8122,0.80454400454103,0.81985599545897,1.49094119661492,1.53899186256781,0.557213930348259,0.65948275862069,0.652323940641619,CTLA4
10000,402,1,1,0.08,0.803,0.795203256150488,0.810796743849513,1.48423787448723,1.53899186256781,0.557213930348259,0.65948275862069,0.651301252358895,CTLA4
10000,402,1,1,0.09,0.7958,0.787897723584183,0.803702276415817,1.47757375732836,1.53899186256781,0.557213930348259,0.65948275862069,0.650278564076171,CTLA4
10000,402,1,1,0.1,0.7947,0.786781945953089,0.802618054046911,1.4709485022006,1.53899186256781,0.557213930348259,0.65948275862069,0.649255875793446,CTLA4
10000,402,1,1,0.11,0.7818,0.773703495029951,0.789896504970049,1.46436177015432,1.53899186256781,0.557213930348259,0.65948275862069,0.648233187510722,CTLA4
10000,402,1,1,0.12,0.7701,0.76185168139467,0.778348318605331,1.45781322617015,1.53899186256781,0.557213930348259,0.65948275862069,0.647210499227998,CTLA4
10000,402,1,1,0.13,0.7574,0.748997076122041,0.765802923877959,1.45130253910222,1.53899186256781,0.557213930348259,0.65948275862069,0.646187810945274,CTLA4
10000,402,1,1,0.14,0.751,0.742523003132319,0.759476996867681,1.44482938162229,1.53899186256781,0.557213930348259,0.65948275862069,0.645165122662549,CTLA4
10000,402,1,1,0.15,0.7322,0.723519544215963,0.740880455784037,1.43839343016491,1.53899186256781,0.557213930348259,0.65948275862069,0.644142434379825,CTLA4
10000,402,1,1,0.16,0.738,0.729380120252394,0.746619879747606,1.43199436487354,1.53899186256781,0.557213930348259,0.65948275862069,0.643119746097101,CTLA4
