sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0.59,0.0585,0.0538994423648923,0.0631005576351078,1.05459500741212,1.53899186256781,0.557213930348259,0.632004658168884,0.570286293410886,CTLA4
10000,201,305,1,1,0.6,0.0584,0.0538031320420106,0.0629968679579894,1.05010424551126,1.53899186256781,0.557213930348259,0.632004658168884,0.569240219431937,CTLA4
10000,201,305,1,1,0.61,0.0583,0.0537068255196558,0.0628931744803442,1.04563524185717,1.53899186256781,0.557213930348259,0.632004658168884,0.568194145452988,CTLA4
10000,201,305,1,1,0.62,0.0572,0.05264770726101,0.06175229273899,1.04118783870028,1.53899186256781,0.557213930348259,0.632004658168884,0.567148071474039,CTLA4
10000,201,305,1,1,0.63,0.0526,0.0482239533515879,0.0569760466484121,1.03676187981226,1.53899186256781,0.557213930348259,0.632004658168884,0.56610199749509,CTLA4
10000,201,305,1,1,0.64,0.0542,0.049761648652617,0.058638351347383,1.03235721046778,1.53899186256781,0.557213930348259,0.632004658168884,0.565055923516141,CTLA4
10000,201,305,1,1,0.65,0.0516,0.0472634635203377,0.0559365364796623,1.02797367742641,1.53899186256781,0.557213930348259,0.632004658168884,0.564009849537191,CTLA4
10000,201,305,1,1,0.66,0.0518,0.047455525664739,0.056144474335261,1.0236111289149,1.53899186256781,0.557213930348259,0.632004658168884,0.562963775558242,CTLA4
10000,201,305,1,1,0.67,0.0542,0.049761648652617,0.058638351347383,1.01926941460963,1.53899186256781,0.557213930348259,0.632004658168884,0.561917701579293,CTLA4
10000,201,305,1,1,0.68,0.0503,0.0460155054753558,0.0545844945246442,1.01494838561939,1.53899186256781,0.557213930348259,0.632004658168884,0.560871627600344,CTLA4
10000,201,305,1,1,0.69,0.0492,0.0449601595047309,0.0534398404952691,1.0106478944683,1.53899186256781,0.557213930348259,0.632004658168884,0.559825553621395,CTLA4
10000,201,305,1,1,0.7,0.0518,0.047455525664739,0.056144474335261,1.00636779507907,1.53899186256781,0.557213930348259,0.632004658168884,0.558779479642446,CTLA4
10000,201,305,1,1,0.71,0.0477,0.0435219997434015,0.0518780002565985,1.00210794275646,1.53899186256781,0.557213930348259,0.632004658168884,0.557733405663497,CTLA4
10000,201,305,1,1,0.72,0.0495,0.0452479237810448,0.0537520762189553,0.997868194170943,1.53899186256781,0.557213930348259,0.632004658168884,0.556687331684548,CTLA4
10000,201,305,1,1,0.73,0.0492,0.0449601595047309,0.0534398404952691,0.993648407342678,1.53899186256781,0.557213930348259,0.632004658168884,0.555641257705599,CTLA4
10000,201,305,1,1,0.74,0.0505,0.0462074481055885,0.0547925518944115,0.989448441625621,1.53899186256781,0.557213930348259,0.632004658168884,0.55459518372665,CTLA4
